"Nº","CODIGO","D I A G N O S T I C O","<30 DIAS","<1 AÑO","1 - 4","5 -14","15 - 44","45 - 59",">60 AÑOS","TOTAL"
"1","R104","OTROS DOLORES ABDOMINALES Y LOS NO ESPECIFICADOS",,,"77","565","2.850","702","1.238","5.432"
"2","N390","INFECCION DE VIAS URINARIAS, SITIO NO ESPECIFICADO",,"465","400","249","1.489","462","1.297","4.362"
"3","J159","NEUMONIA BACTERIANA, NO ESPECIFICADA",,"723","724","381","148","137","657","2.770"
"4","J441","ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON EXACERBACION AGUDA, NO ESPECIFICADA",,,,,"24","111","2.211","2.346"
"5","R103","DOLOR LOCALIZADO EN OTRAS PARTES INFERIORES DEL ABDOMEN",,"6","20","176","1.699","224","178","2.303"
"6","R509","FIEBRE, NO ESPECIFICADA",,"423","244","312","510","146","276","1.911"
"7","R51X","CEFALEA",,,"18","161","989","277","302","1.747"
"8","R101","DOLOR ABDOMINAL LOCALIZADO EN PARTE SUPERIOR",,,,"57","746","306","549","1.658"
"9","I500","INSUFICIENCIA CARDIACA CONGESTIVA",,"9",,"5","50","144","1.374","1.582"
"10","J189","NEUMONIA, NO ESPECIFICADA",,"413","271","229","144","129","391","1.577"
"11","R102","DOLOR PELVICO Y PERINEAL",,,,"13","1.403","57","15","1.488"
"12","O620","CONTRACCIONES PRIMARIAS INADECUADAS",,,,"8","1.477",,,"1.485"
"13","A09X","DIARREA GASTROENTERITIS PRESUNTO ORIGEN INFECCIOSO",,"343","186","165","369","132","259","1.454"
"14","A90X","FIEBRE DEL DENGUE [DENGUE CLASICO]",,"21","86","473","599","144","101","1.424"
"15","O200","AMENAZA DE ABORTO",,,,"5","1.384","7",,"1.396"
"16","K922","HEMORRAGIA GASTROINTESTINAL, NO ESPECIFICADA",,"4","11","8","252","267","852","1.394"
"17","L031","CELULITIS DE OTRAS PARTES DE LOS MIEMBROS",,"2","17","12","433","282","510","1.256"
"18","J22X","INFECCION AGUDA NO ESPECIFICADA DE LAS VIAS RESPIRATORIAS INFERIORES",,"321","245","158","79","56","251","1.110"
"19","S099","TRAUMATISMO DE LA CABEZA, NO ESPECIFICADO",,"22","59","98","572","150","132","1.033"
"20","R074","DOLOR EN EL PECHO, NO ESPECIFICADO",,,,"38","202","234","553","1.027"
"21","Z358","SUPERVISION DE OTROS EMBARAZOS DE ALTO RIESGO",,,,"4","1.004","3",,"1.011"
"22","N23X","COLICO RENAL, NO ESPECIFICADO",,,,"6","545","201","93","845"
"23","Z359","SUPERVISION DE EMBARAZO DE ALTO RIESGO, SIN OTRA ESPECIFICACION",,,,"1","819","3",,"823"
"24","N939","HEMORRAGIA VAGINAL Y UTERINA ANORMAL, NO ESPECIFICADA",,,,"17","593","188","15","813"
"25","O16X","HIPERTENSION MATERNA, NO ESPECIFICADA",,,,,"783","5",,"788"
"26","R568","OTRAS CONVULSIONES Y LAS NO ESPECIFICADAS",,"82","79","107","289","37","116","710"
"27","O342","ATENCION MATERNA POR CICATRIZ UTERINA DEBIDA A CIRUGIA PREVIA",,,,,"662",,,"662"
"28","J219","BRONQUIOLITIS AGUDA, NO ESPECIFICADA",,"631","15",,,,,"646"
"29","I10X","HIPERTENSION ESENCIAL (PRIMARIA)",,,,,"57","129","444","630"
"30","G409","EPILEPSIA, TIPO NO ESPECIFICADO",,"20","57","88","348","60","44","617"
"31","K800","CALCULO DE LA VESICULA BILIAR CON COLECISTITIS AGUDA",,,,,"275","142","198","615"
"32","R55X","SINCOPE Y COLAPSO",,"9","4","50","137","89","279","568"
"33","O470","FALSO TRABAJO DE PARTO ANTES DE LA 37 SEMANAS COMPLETAS DE GESTACION",,,,"4","556",,,"560"
"34","I219","INFARTO AGUDO DEL MIOCARDIO, SIN OTRA ESPECIFICACION",,,,,"39","67","453","559"
"35","R33X","RETENCION DE ORINA",,,"4",,"28","89","424","545"
"36","J209","BRONQUITIS AGUDA, NO ESPECIFICADA",,"4","1","7","137","134","247","530"
"37","D649","ANEMIA DE TIPO NO ESPECIFICADO",,"34",,"11","91","64","202","402"
"38","I64X","ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO",,,,,"5","80","306","391"
"39","K85X","PANCREATITIS AGUDA",,,,"2","141","41","152","336"
"40","I679","ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA",,,,,"1","25","302","328"
"41","T172","CUERPO EXTRAÑO EN LA FARINGE",,"9","6","41","112","105","55","328"
"42","E109","DIABETES MELLITUS INSULINODEPENDIENTE SIN MENCION DE COMPLICACION",,"5",,"7","59","74","148","293"
"43","J46X","ESTADO ASMATICO",,"2","35","138","64","30","12","281"
"44","R31X","HEMATURIA, NO ESPECIFICADA",,,"2","14","68","30","162","276"
"45","J440","ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON INFECCION AGUDA DE LAS VIAS RESPIRATORIAS INFERIORES",,,,,,"17","255","272"
"46","I209","ANGINA DE PECHO, NO ESPECIFICADA",,,,,"13","70","185","268"
"47","I509","INSUFICIENCIA CARDIACA, NO ESPECIFICADA",,,,,"6","23","238","267"
"48","J449","ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA",,,,,"5",,"252","257"
"49","K37X","APENDICITIS, NO ESPECIFICADA",,,"2","46","161","29","10","248"
"50","M545","LUMBAGO NO ESPECIFICADO",,,"2","1","120","40","84","247"
"51","S525","FRACTURA DE LA EPIFISIS INFERIOR DEL RADIO",,,"2","36","64","95","49","246"
"52","J449","ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA, NO ESPECIFICADA",,,,,,"5","230","235"
"53","K808","OTRAS COLELITIASIS",,,,"2","111","47","75","235"
"54","O021","ABORTO RETENIDO",,,,,"224","4",,"228"
"55","A419","SEPTICEMIA, NO ESPECIFICADA",,"38","5","13","38","28","98","220"
"56","T172","CUERPO EXTRAÑO EN LA FARINGE",,"2","11","12","94","29","71","219"
"57","K37X","APENDICITIS, NO ESPECIFICADA",,,"2","41","140","21","9","213"
"58","J46X","ESTADO ASMATICO",,,"27","85","76","17","5","210"
"59","M545","LUMBAGO NO ESPECIFICADO",,,,"3","115","45","47","210"
"60","R31X","HEMATURIA, NO ESPECIFICADA",,,,"3","57","39","109","208"
"61","S525","FRACTURA DE LA EPIFISIS INFERIOR DEL RADIO",,,"4","45","51","34","70","204"
"62","L039","CELULITIS DE SITIO NO ESPECIFICADO",,"15",,"4","66","59","55","199"
"63","O021","ABORTO RETENIDO",,,,,"194",,,"194"
"64","J960","INSUFICIENCIA RESPIRATORIA AGUDA",,"23","20","21","17","14","95","190"
"65","R11X","NAUSEA Y VOMITO",,"43","24","48","44","2","29","190"
"66","M544","LUMBAGO CON CIATICA",,,,,"69","51","67","187"
"67","S420","FRACTURA DE LA CLAVICULA",,"9","11","21","96","14","26","177"
"68","R060","DISNEA",,"4",,"1","46","28","95","174"
"69","S420","FRACTURA DE LA CLAVICULA",,,"3","21","111","27","8","170"
"70","N201","CALCULO DEL URETER",,,,"2","88","45","20","155"
"71","Z321","EMBARAZO CONFIRMADO",,,,"9","145",,,"154"
"72","M544","LUMBAGO CON CIATICA",,,,,"73","31","47","151"
"73","O120","EDEMA GESTACIONAL",,,,,"149",,,"149"
"74","R560","CONVULSIONES FEBRILES",,"67","80","2",,,,"149"
"75","K802","CALCULO DE LA VESICULA BILIAR SIN COLECISTITIS",,,,,"85","33","29","147"
"76","Z988","OTROS ESTADOS POSTQUIRURGICOS ESPECIFICADOS",,,,"2","61","28","52","143"
"77","J459","ASMA, NO ESPECIFICADA",,,"11","83","22","16","9","141"
"78","S610","HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)",,,,"5","70","39","27","141"
"79","L030","CELULITIS DE LOS DEDOS DE LA MANO Y DEL PIE",,,"6","4","60","18","47","135"
"80","N40X","HIPERPLASIA DE LA PROSTATA",,,,,"2","21","112","135"
"81","R060","DISNEA",,"8","5","4","19","17","82","135"
"82","S822","FRACTURA DE LA DIAFISIS DE LA TIBIA",,,"6","8","85","15","20","134"
"83","R17X","ICTERICIA NO ESPECIFICADA",,"7","9","4","52","18","40","130"
"84","K802","CALCULO DE LA VESICULA BILIAR SIN COLECISTITIS",,,,,"71","21","36","128"
"85","O141","PREECLAMPSIA SEVERA",,,,,"125","3",,"128"
"86","O034","ABORTO ESPONTANEO: INCOMPLETO, SIN COMPLICACION",,,,,"125","1",,"126"
"87","N201","CALCULO DEL URETER",,,,,"91","26","8","125"
"88","L039","CELULITIS DE SITIO NO ESPECIFICADO",,,"8","17","58","16","25","124"
"89","C169","TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA",,,,,"10","70","43","123"
"90","O034","ABORTO ESPONTANEO: INCOMPLETO, SIN COMPLICACION",,,,,"122","1",,"123"
"91","K808","OTRAS COLELITIASIS",,,,,"56","29","36","121"
"92","N511","TRASTORNO DEL TESTICULO Y DEL EPIDIDIMO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE",,"6",,"13","61","12","27","119"
"93","O234","INFECCION NO ESPECIFICADA DE LAS VIAS URINARIAS EN EL EMBARAZO",,,,,"119",,,"119"
"94","S824","FRACTURA DEL PERONE SOLAMENTE",,,,"4","78","24","12","118"
"95","J440","ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON INFECCION AGUDA DE LAS VIAS RESPIRATORIAS INFERIORES",,,,,,"1","116","117"
"96","L032","CELULITIS DE LA CARA",,"10","10","30","36","6","23","115"
"97","J459","ASMA, NO ESPECIFICADA",,"7","11","47","26","10","11","112"
"98","O039","ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, SIN COMPLICACION",,,,,"111","1",,"112"
"99","S824","FRACTURA DEL PERONE SOLAMENTE",,,,"2","47","42","21","112"
"100","R18X","ASCITIS",,,,,"23","14","73","110"
,,"TOTAL DE DIAGNOSTICOS MINORITARIOS","122","1.261","1.556","3.177","20.258","5.798","8.758","40.930"
,,"TOTAL","122","5.048","4.376","7.426","46.478","12.657","26.634","102.741"
